Date : 2024-08-28 00:52:38
Directory : /home/vash/anduril-1-vash
Total : 289 files,  29207 codes, 7622 comments, 5673 blanks, all 42502 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
+--------------+------------+------------+------------+------------+------------+
| C            |         75 |     11,443 |      3,172 |      2,184 |     16,799 |
| XML          |          2 |      9,022 |         10 |          4 |      9,036 |
| C++          |        173 |      6,357 |      4,200 |      2,672 |     13,229 |
| Markdown     |         12 |      1,575 |          0 |        563 |      2,138 |
| Python       |          5 |        447 |         88 |        118 |        653 |
| Shell Script |         16 |        287 |        131 |        100 |        518 |
| YAML         |          1 |         41 |          9 |         11 |         61 |
| Makefile     |          5 |         35 |         12 |         21 |         68 |
+--------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                               |        289 |     29,207 |      7,622 |      5,673 |     42,502 |
| . (Files)                                                                       |          3 |        392 |         12 |        123 |        527 |
| .github                                                                         |          1 |         41 |          9 |         11 |         61 |
| .github/workflows                                                               |          1 |         41 |          9 |         11 |         61 |
| arch                                                                            |         11 |        734 |        444 |        319 |      1,497 |
| bin                                                                             |         18 |        705 |        216 |        206 |      1,127 |
| docs                                                                            |          5 |      5,841 |          5 |        350 |      6,196 |
| fsm                                                                             |         30 |      2,200 |        723 |        539 |      3,462 |
| hw                                                                              |        149 |      6,567 |      4,029 |      2,764 |     13,360 |
| hw/fireflies                                                                    |         10 |        197 |        138 |         93 |        428 |
| hw/fireflies/e01                                                                |          1 |         27 |         15 |         14 |         56 |
| hw/fireflies/pl47                                                               |          3 |         53 |         39 |         27 |        119 |
| hw/fireflies/pl47 (Files)                                                       |          2 |         47 |         34 |         24 |        105 |
| hw/fireflies/pl47/219                                                           |          1 |          6 |          5 |          3 |         14 |
| hw/fireflies/pl47g2                                                             |          2 |         39 |         22 |         19 |         80 |
| hw/fireflies/pl47g2 (Files)                                                     |          1 |         33 |         17 |         16 |         66 |
| hw/fireflies/pl47g2/219                                                         |          1 |          6 |          5 |          3 |         14 |
| hw/fireflies/rot66                                                              |          3 |         46 |         46 |         23 |        115 |
| hw/fireflies/rot66 (Files)                                                      |          2 |         36 |         35 |         19 |         90 |
| hw/fireflies/rot66/219                                                          |          1 |         10 |         11 |          4 |         25 |
| hw/fireflies/rot66g2                                                            |          1 |         32 |         16 |         10 |         58 |
| hw/gchart                                                                       |          2 |         92 |         59 |         43 |        194 |
| hw/gchart/fet1-t1616                                                            |          2 |         92 |         59 |         43 |        194 |
| hw/hank                                                                         |         74 |      3,451 |      2,136 |      1,365 |      6,952 |
| hw/hank (Files)                                                                 |          2 |         24 |         32 |         15 |         71 |
| hw/hank/emisar-2ch                                                              |         10 |        791 |        414 |        283 |      1,488 |
| hw/hank/emisar-2ch (Files)                                                      |          3 |        271 |        116 |         89 |        476 |
| hw/hank/emisar-2ch/fet                                                          |          7 |        520 |        298 |        194 |      1,012 |
| hw/hank/emisar-2ch/fet (Files)                                                  |          3 |        288 |        118 |         92 |        498 |
| hw/hank/emisar-2ch/fet/joined                                                   |          4 |        232 |        180 |        102 |        514 |
| hw/hank/emisar-d1                                                               |          1 |          9 |          6 |          4 |         19 |
| hw/hank/emisar-d18                                                              |          3 |         86 |         46 |         45 |        177 |
| hw/hank/emisar-d18 (Files)                                                      |          2 |         78 |         41 |         41 |        160 |
| hw/hank/emisar-d18/219                                                          |          1 |          8 |          5 |          4 |         17 |
| hw/hank/emisar-d1s                                                              |          1 |          9 |          8 |          5 |         22 |
| hw/hank/emisar-d1v2                                                             |          3 |         32 |         31 |         17 |         80 |
| hw/hank/emisar-d1v2/7135-fet                                                    |          1 |         12 |         12 |          6 |         30 |
| hw/hank/emisar-d1v2/linear-fet                                                  |          1 |         12 |         10 |          6 |         28 |
| hw/hank/emisar-d1v2/nofet                                                       |          1 |          8 |          9 |          5 |         22 |
| hw/hank/emisar-d3aa                                                             |          3 |        257 |        184 |        109 |        550 |
